date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:06	524308/524308	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2011:06:06%20GMT	https://byjusexamprep.com/types-of-forest-in-india-i	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/types-of-forest-in-india-i.html	(from )
16:36:07	326/326	---MCZ	200	added ('Success')	text/plain	date:Sun,%2006%20Nov%202022%2011:06:07%20GMT	https://byjusexamprep.com/robots.txt		(from )
16:36:09	232604/232604	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2011:06:08%20GMT	https://byjusexamprep.com/types-of-forest-in-india-i_amp	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/types-of-forest-in-india-i_amp.html	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:10	506984/506984	---M--	200	added ('OK')	image/jpeg	etag:%227d45676bd3ff14789b87d49240ff927a%22	https://gs-post-images.grdp.co/2022/10/types-of-forest-in-india-img1666253079399-54-rs.jpg	C:/My%20Web%20Sites/bitm35/gs-post-images.grdp.co/2022/10/types-of-forest-in-india-img1666253079399-54-rs.jpg	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:10	338124/338124	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Nov%202022%2011:06:10%20GMT	https://byjusexamprep.com/android-app://co.gradeup.android/https/grdp.co/pl9gwfep2	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/android-app_/co.gradeup.android/https/grdp.co/pl9gwfep2	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:11	959/959	---M--	200	added ('OK')	image/png	etag:%2222e85b649dd25610375fc05ede9a9502%22	https://gs-post-images.grdp.co/2021/8/group-copy-2x-img1630316004822-54.png-rs-high-webp.png	C:/My%20Web%20Sites/bitm35/gs-post-images.grdp.co/2021/8/group-copy-2x-img1630316004822-54.png-rs-high-webp.png	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:11	1010/1010	---MCZ	200	added ('OK')	application/json	etag:W/%223f2-DmD7IH+oDRXlhKWhZJlDBTRHwCk%22	https://byjusexamprep.com/manifest.json	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/manifest.json	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:11	19973/19973	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dfb674b0cf5f145b618974e48da130cf%22	https://gradeup-assets.grdp.co/website_22/_next/static/fLgVPXKrLWb4nm07jJEgd/_buildManifest.js	C:/My%20Web%20Sites/bitm35/gradeup-assets.grdp.co/website_22/_next/static/fLgVPXKrLWb4nm07jJEgd/_buildManifest.js	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:12	77/77	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b6652df95db52feb4daf4eca35380933%22	https://gradeup-assets.grdp.co/website_22/_next/static/fLgVPXKrLWb4nm07jJEgd/_ssgManifest.js	C:/My%20Web%20Sites/bitm35/gradeup-assets.grdp.co/website_22/_next/static/fLgVPXKrLWb4nm07jJEgd/_ssgManifest.js	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:12	539056/539056	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2003:54:31%20GMT	https://byjusexamprep.com/free-video-lectures	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/free-video-lectures.html	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:13	1002976/1002976	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2003:13:42%20GMT	https://byjusexamprep.com/	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/index.html	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:13	369258/369258	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2002:01:10%20GMT	https://byjusexamprep.com/practice	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/practice.html	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:13	1220215/1220215	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2010:57:47%20GMT	https://byjusexamprep.com/practice/quiz	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/practice/quiz.html	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:13	1020083/1020083	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2006:29:41%20GMT	https://byjusexamprep.com/practice/previous-year-papers	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/practice/previous-year-papers.html	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:14	46/46	---MC-	302	error ('Found')	text/html	date:Sun,%2006%20Nov%202022%2011:06:14%20GMT	https://byjusexamprep.com/community	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/community	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:15	623505/623505	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2001:10:13%20GMT	https://byjusexamprep.com/bank-exams	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/bank-exams.html	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:15	750751/750751	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2011:06:15%20GMT	https://byjusexamprep.com/bank-exams/sbi-po-exam	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/bank-exams/sbi-po-exam.html	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:15	590197/590197	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2011:06:15%20GMT	https://byjusexamprep.com/bank-exams/sbi-po-exam-vacancy	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/bank-exams/sbi-po-exam-vacancy.html	(from https://byjusexamprep.com/types-of-forest-in-india-i)
16:36:15	632304/632304	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2011:06:15%20GMT	https://byjusexamprep.com/bank-exams/sbi-po-exam-apply-online	C:/My%20Web%20Sites/bitm35/byjusexamprep.com/bank-exams/sbi-po-exam-apply-online.html	(from https://byjusexamprep.com/types-of-forest-in-india-i)
